upload_id,user_id,metric_key,week_start,value_avg,value_min,value_max,value_sum,sample_count,baseline_avg_30d,trend_delta_7d,trend_delta_30d
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,body_fat_percentage,2024-03-11,20.583333333333332,20.4,20.8,226.59999999999997,11,19.36375,-0.04166666666666785,2.7333333333333307
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,body_mass_index,2024-03-11,23.915833333333335,23.7,24.29,286.99,12,23.176583333333333,0.08783333333333943,1.465833333333336
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,body_mass,2024-03-11,75.9875,75.45,76.95,911.85,12,73.631875,0.29750000000001364,4.7250000000000085
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,body_mass,2024-03-18,74.50833333333333,73.9,75.3,746.25,10,74.813125,-1.4791666666666714,2.3333333333333144
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,body_mass_index,2024-03-18,23.483333333333334,23.3,23.7,235.20000000000002,10,23.54304166666667,-0.432500000000001,0.7833333333333314
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,body_fat_percentage,2024-03-18,19.71666666666667,19.400000000000002,20.3,197.70000000000002,10,20.047083333333333,-0.8666666666666636,1.31666666666667
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,lean_body_mass,2024-03-18,59.8166,59.5298,60.1952,598.706,10,59.78347166666667,-0.43054166666666305,0.9220500000000058
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,distance_walking_running,2024-03-25,0.2641967142857143,0.00336,0.733053,3.698754,14,,,
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,body_mass_index,2024-03-25,22.99,22.7,23.2,206.7,9,23.738875,-0.49333333333333584,-0.7383333333333368
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,walking_asymmetry_percentage,2024-03-25,5,0,30,40,8,,,
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,height,2024-03-25,178,178,178,178,1,,,
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,active_energy_burned,2024-03-25,15.616299999999999,0.004,53.3014,203.0119,13,,,
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,walking_speed,2024-03-25,4.455,3.276,5.58,71.28,16,,,
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,step_count,2024-03-25,274.27272727272725,8,753,3017,11,,,
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,basal_energy_burned,2024-03-25,35.4705,0.208,73.446,780.351,22,,,
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,flights_climbed,2024-03-25,1,1,1,3,3,,,
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,walking_step_length,2024-03-25,66.25,46,81,1060,16,,,
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,body_fat_percentage,2024-03-25,18.98,18.6,19.3,170.5,9,20.37625,-0.7366666666666681,-1.5999999999999979
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,headphone_audio_exposure,2024-03-25,55.47081555555557,10.1406,68.1585,7488.5601000000015,135,,,
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,lean_body_mass,2024-03-25,59.16775,58.7708,59.6708,532.2823000000001,9,60.01398416666667,-0.648850000000003,-0.7774700000000081
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,workout,2024-03-25,11.438888888888888,6.466666666666667,17.58333333333333,34.31666666666666,3,,,
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,body_mass,2024-03-25,73.03,72.2,73.85,656.7,9,75.39645833333333,-1.4783333333333246,-2.3699999999999903
